numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
55280,1,"Metronidazole Sintetica, soluzione per infusione",Sintetica SA,Synthetika,08.04.3.,J01XD01,2000-01-24,2000-01-24,unbegrenzt,B,B,metronidazolum,Infezioni da batteri anaerobici,,,maladie_infectieuses,2000
55288,1,"Indivina 1 mg/2.5 mg, Tabletten",Orion Pharma AG,Synthetika,07.08.6.,G03FA12,2000-04-17,2000-04-17,unbegrenzt,B,B,"estradioli valeras, medroxyprogesteroni acetas",Hormonsubstitution nach der Menopause,,,autre,2000
55288,2,"Indivina 1 mg/5 mg, Tabletten",Orion Pharma AG,Synthetika,07.08.6.,G03FA12,2000-04-17,2000-04-17,unbegrenzt,B,B,"estradioli valeras, medroxyprogesteroni acetas",Hormonsubstitution nach der Menopause,,,autre,2000
55288,4,"Indivina 2 mg/5 mg, Tabletten",Orion Pharma AG,Synthetika,07.08.6.,G03FA12,2000-04-17,2000-04-17,unbegrenzt,B,B,"estradioli valeras, medroxyprogesteroni acetas",Hormonsubstitution nach der Menopause,,,autre,2000
55295,1,"Physioneal 40 Glucose 1,36 %, Peritonealdialyselösung",Vantive GmbH,Synthetika,05.04.0.,B05DB,2000-05-31,2000-05-31,unbegrenzt,B,B,"glucosum, calcii chloridum dihydricum, magnesii chloridum hexahydricum, natrii chloridum, natrii lactas, natrii hydrogenocarbonas, natrium, calcium, magnesium, chloridum, hydrogenocarbonas, lactas",Peritonealdialyselösung,,,autre,2000
55295,2,"Physioneal 40 Glucose 2,27 %, Peritonealdialyselösung",Vantive GmbH,Synthetika,05.04.0.,B05DB,2000-05-31,2000-05-31,unbegrenzt,B,B,"calcii chloridum dihydricum, magnesii chloridum hexahydricum, natrii chloridum, natrii lactas, glucosum, natrii hydrogenocarbonas, natrium, calcium, magnesium, chloridum, hydrogenocarbonas, lactas",Peritonealdialyselösung,,,autre,2000
55295,3,"Physioneal 40 Glucose 3,86 %, Peritonealdialyselösung",Vantive GmbH,Synthetika,05.04.0.,B05DB,2000-05-31,2000-05-31,unbegrenzt,B,B,"glucosum, calcii chloridum dihydricum, magnesii chloridum hexahydricum, natrii chloridum, natrii lactas, natrii hydrogenocarbonas, natrium, calcium, magnesium, chloridum, hydrogenocarbonas, lactas",Peritonealdialyselösung,,,autre,2000
55297,1,"Keppra 250 mg, comprimés pelliculés",UCB-Pharma SA,Synthetika,01.07.1.,N03AX14,2000-03-29,2000-03-29,unbegrenzt,B,B,levetiracetamum,Antiépileptique,,,autre,2000
55297,4,"Keppra 1000 mg, comprimés pelliculés",UCB-Pharma SA,Synthetika,01.07.1.,N03AX14,2000-03-29,2000-03-29,unbegrenzt,B,B,"levetiracetamum, natrium",Antiépileptique,,,autre,2000
55297,5,"Keppra 500 mg, comprimés pelliculés",UCB-Pharma SA,Synthetika,01.07.1.,N03AX14,2000-03-29,2000-03-29,unbegrenzt,B,B,levetiracetamum,Antiépileptique,,,autre,2000
55311,1,"Zyprexa Velotab 5 mg, Schmelztabletten",Cheplapharm Schweiz GmbH,Synthetika,01.05.0.,N05AH03,2000-06-28,2000-06-28,unbegrenzt,B,B,olanzapinum,Neuroleptikum,,,autre,2000
55311,2,"Zyprexa Velotab 10 mg, Schmelztabletten",Cheplapharm Schweiz GmbH,Synthetika,01.05.0.,N05AH03,2000-06-28,2000-06-28,unbegrenzt,B,B,olanzapinum,Neuroleptikum,,,autre,2000
55311,3,"Zyprexa Velotab 15 mg, Schmelztabletten",Cheplapharm Schweiz GmbH,Synthetika,01.05.0.,N05AH03,2000-06-28,2000-06-28,unbegrenzt,B,B,olanzapinum,Neuroleptikum,,,autre,2000
55311,4,"Zyprexa Velotab 20 mg, Schmelztabletten",Cheplapharm Schweiz GmbH,Synthetika,01.05.0.,N05AH03,2000-06-28,2000-06-28,unbegrenzt,B,B,olanzapinum,Neuroleptikum,,,autre,2000
55332,1,"Solmucol Raffreddore, spray nasale, soluzione",IBSA Institut Biochimique SA,Synthetika,12.02.1.,R01AA07,2000-12-21,2000-12-21,unbegrenzt,D,D,xylometazolini hydrochloridum,rinite,,,appareil_respiratoire,2000
55337,1,"Aminoven 5 %, Infusionslösung",Fresenius Kabi (Schweiz) AG,Synthetika,07.01.2.,B05BA01,2000-04-19,2000-04-19,unbegrenzt,B,B,"isoleucinum, leucinum, lysinum anhydricum, methioninum, phenylalaninum, threoninum, tryptophanum, valinum, argininum, histidinum, alaninum, glycinum, prolinum, serinum, tyrosinum, taurinum, aminoacida",Parenterale Ernährung,,,autre,2000
55337,2,"Aminoven 10 %, Infusionslösung",Fresenius Kabi (Schweiz) AG,Synthetika,07.01.2.,B05BA01,2000-04-19,2000-04-19,unbegrenzt,B,B,"isoleucinum, leucinum, lysinum anhydricum, methioninum, phenylalaninum, threoninum, tryptophanum, valinum, argininum, histidinum, alaninum, glycinum, prolinum, serinum, tyrosinum, taurinum, aminoacida",Parenterale Ernährung,,,autre,2000
55337,3,"Aminoven 15 %, Infusionslösung",Fresenius Kabi (Schweiz) AG,Synthetika,07.01.2.,B05BA01,2000-04-19,2000-04-19,unbegrenzt,B,B,"isoleucinum, leucinum, lysinum anhydricum, methioninum, phenylalaninum, threoninum, tryptophanum, valinum, argininum, histidinum, alaninum, glycinum, prolinum, serinum, tyrosinum, taurinum, l-malas, aminoacida",Parenterale Ernährung,,,autre,2000
55339,1,"Sanalgin N, Tabletten",Gebro Pharma AG,Synthetika,01.01.2.,N02BE51,2000-05-11,2000-05-11,unbegrenzt,D,D,"paracetamolum, coffeinum","Analgetikum, Antipyretikum",,,autre,2000
